Participant_ID,MTLD_Pre,MTLD_V1,MTLD_V2,MTLD_V3,LSA_Pre,LSA_V1,LSA_V2,LSA_V3,PSI_Pre,PSI_V1,PSI_V2,PSI_V3,RAR_Pre,RAR_V1,RAR_V2,RAR_V3,Final_Human_Rating,Status
P01,55.2,62.1,68.5,72.1,3.8,4.1,4.5,5.1,2.1,4.2,6.1,8.1,85,72,58,42,4.5,Complete
P02,60.1,65.4,71.2,78.4,4.0,4.4,4.9,5.8,2.5,4.8,6.5,7.9,80,68,52,45,4.2,Complete
P03,58.4,63.2,69.1,75.6,3.9,4.2,4.7,5.4,2.3,4.5,6.0,7.7,82,70,55,40,4.1,Complete
P04,64.2,70.1,76.8,82.4,4.1,4.6,5.2,6.2,2.8,5.1,6.8,8.1,78,65,50,44,4.6,Complete
P05,68.1,74.5,80.2,88.1,4.5,5.0,5.8,6.5,3.1,5.5,7.2,8.4,75,60,48,38,4.8,Complete
P06,52.1,58.4,65.1,71.2,3.7,4.0,4.4,5.2,2.0,4.1,5.8,7.5,88,75,60,50,3.8,Complete
P07,57.8,64.2,70.5,77.1,3.8,4.3,4.8,5.6,2.4,4.7,6.3,7.8,81,68,54,42,4.0,Complete
P08,61.2,68.1,75.4,81.5,4.1,4.5,5.1,5.9,2.6,4.9,6.7,8.0,79,66,51,41,4.3,Complete
P09,54.5,60.8,67.2,73.8,3.6,4.1,4.6,5.3,2.1,4.3,5.9,7.6,84,72,58,48,3.7,Complete
P10,59.7,66.2,72.8,79.4,4.0,4.4,4.9,5.7,2.7,5.0,6.6,7.9,80,67,53,43,4.1,Complete
P11,42.5,48.2,55.1,61.2,3.1,3.5,4.0,4.8,2.0,3.8,5.2,6.1,90,80,65,55,3.8,1_Session_Missing
P12,50.1,56.4,63.2,69.8,3.5,3.9,4.3,5.1,2.2,4.2,5.7,7.4,86,78,62,52,3.9,Complete
P13,62.8,69.1,76.2,83.1,4.2,4.7,5.3,6.1,2.9,5.2,7.0,8.3,76,62,45,37,4.6,Complete
P14,56.7,62.5,69.1,75.8,3.8,4.3,4.7,5.5,2.4,4.6,6.1,7.8,83,71,57,47,4.0,Complete
P15,60.4,67.1,74.5,81.2,4.1,4.6,5.1,5.9,2.6,4.8,6.5,7.9,79,68,54,41,4.2,Complete
P16,53.1,59.2,66.4,72.8,3.7,4.1,4.6,5.3,2.1,4.3,5.9,7.6,85,74,61,49,3.8,Complete
P17,58.5,64.1,71.2,77.4,4.0,4.4,4.9,5.8,2.5,4.7,6.4,8.0,81,69,55,43,4.1,1_Session_Missing
P18,63.1,69.5,76.8,84.2,4.2,4.7,5.3,6.2,3.0,5.3,7.1,8.4,77,63,46,36,4.7,Complete
P19,55.8,62.1,69.4,76.1,3.8,4.2,4.8,5.6,2.3,4.5,6.2,7.7,82,70,56,44,4.0,Complete
P20,59.2,65.8,73.1,80.4,4.0,4.5,5.0,5.8,2.7,4.9,6.7,8.1,79,67,52,42,4.2,Complete
P21,51.4,57.8,64.2,71.1,3.5,3.9,4.4,5.2,2.1,4.2,5.6,7.3,88,76,64,51,3.7,Complete
P22,60.3,67.2,75.1,82.8,4.0,4.5,5.1,5.8,2.6,4.8,6.6,8.2,80,68,52,41,4.2,Complete
P23,66.1,73.4,81.2,90.1,4.4,4.9,5.7,6.7,3.2,5.6,7.4,8.7,74,58,42,32,4.8,Complete
P24,56.2,62.8,69.4,76.5,3.8,4.3,4.7,5.5,2.4,4.6,6.1,7.8,83,71,57,47,4.0,Complete
P25,61.4,68.1,75.8,82.1,4.1,4.6,5.2,6.0,2.7,4.9,6.8,8.1,78,66,50,40,4.3,Complete
P26,53.8,59.4,66.1,73.2,3.6,4.1,4.6,5.4,2.2,4.3,5.8,7.5,86,75,62,49,3.8,Complete
P27,57.1,63.4,70.1,77.2,3.9,4.3,4.8,5.6,2.5,4.7,6.3,7.9,81,69,54,43,4.1,Complete
P28,50.2,55.1,61.4,68.4,3.4,3.8,4.2,4.9,2.0,3.7,5.1,6.5,92,82,67,57,3.5,1_Session_Missing
P29,62.1,68.5,75.1,81.8,4.1,4.6,5.2,6.1,2.8,5.1,6.9,8.2,77,64,48,38,4.5,Complete
P30,51.9,58.2,65.1,68.4,3.5,3.9,4.3,4.9,2.1,4.1,5.5,6.5,87,77,64,53,4.0,Complete
